Title,Price,Date
"Programmer SQL Query Geek Database Coding T-Shirt, Long Sleeve Shirt, Sweatshirt, Hoodie","27.99
                 


                   $
                  

                   27
                   
                    .
                   


                   99",2022-12-30
"Programmer SQL Query Geek Database Coding T-Shirt, Long Sleeve Shirt, Sweatshirt, Hoodie","27.99
                 


                   $
                  

                   27
                   
                    .
                   


                   99",2022-12-30
